reviewer,rating,title,date,body
Sandy Toes,5.0 out of 5 stars,"After 2 years using it, what doesn't it do?","Reviewed in the United States on July 6, 2015","FURTHER UPDATE - It's now August 2017 and I've had my IP for almost 2.5 years. I got Pork Chile Verde dialed in, using the recipe from Serious Eats. I add a diced fresh jalapeño and some lime juice after cooking to add brightness to the sauce. Perfection! And I tested out the slow cooker with Chow's Slow Cooker Chicken Tacos. It took a mere 2 hours (adjusted to MORE, or high). I use 2 jalapeños in place of the harder-to-find habanero pepper and add 1 tablespoon chili powder. Also perfection. I'm still using my original gasket rings, one for savory foods, one for sweets and both are holding up fine. I've moved my slow cooker and rice cooker to the garage, because I just don't use them anymore. And like most long-time users, I never use the preset programs, because most recipes require a timing adjustment anyway. It's just easier to use the manual button for everything. If you're a fan of split pea soup, you've got to try Kenji's technique from Serious Eats. Saute ham and aromatics until softened, about 3-5 minutes, then add peas and liquid. Cook under pressure for 20 minutes and quick release the pressure. Stir and the peas melt into perfect smoothness. I know, it goes against the warnings, but it works. I've never had any issue with the pressure valve getting clogged or peas spewing out the valve. I used to make this with slow release, but Kenji's method is far superior and takes only 30 minutes, start to finish. Try it! I've also replaced my old favorite steamer basket for one with a handle, the Hartigo steamer basket. It's pricey, but copycats as low as $9.99 are now available. Most of them are probably just as good, search for Hartigo and read the reviews to make sure you're not getting a piece of junk.

FIRST UPDATE - 11 months later, I'm still loving my Instant Pot. This winter I've added my favorite soups to it's repertoire. Senate Bean soup (recipe from Saveur.com) is the best bean soup ever, with only 12 minutes under pressure. For the two of us, I skip the ham hocks and buy a chunk of ham from the deli counter at the supermarket that I cut into half-inch pieces. I replace half the cooking water with low-sodium chicken broth for deeper flavor. Split pea soup is also the easiest ever, cooking in just 10 minutes. I use chicken broth and diced ham in it, too, unless it's January, when I toss in the bone from our Christmas ham. When I don't have any ham at all, I bring out my secret weapons, ham soup base and liquid smoke. All the same flavors, less money! For the holidays I made a pumpkin cheesecake that was sheer heaven. I even made that Bolognese sauce I was planning in my original review and my dude and DIL declared it the best they'd ever tasted. She's bonkers for my refried beans, too.

I routinely use it to make mashed potatoes for two or a crowd. I made them for 11 people at Thanksgiving and for just the two of us last week. I use my steamer basket to hold them. I bought this RSVP Endurance Stainless Steel 3 Quart Wide Rim Mesh Basket and had my guy remove the handles. Perfect fit! Best thing? Because they sit above the liquid, they absorb less water, which means they taste a lot more like potatoes. Doesn't matter whether I'm cooking 1 potato or 9, it takes 8 minutes and a quick release. On turkey day we riced them right into the liner pot, added half and half, butter and set it to keep warm while we finished up with gravy and getting things out to the table. Baby yukon or red potatoes, cooked whole with skins on, are cooked the same way and are so much better than boiled. Tossed with butter, salt and pepper, they're one of the easiest sides ever. For them I use this Stainless Steel Steaming Steamer Rack 8.5 Inch Diameter , which is great for things that won't fit in the basket. Best of all, I store both of them right in the Instant Pot along with rack that came with it. A good thing, too, because I've about run out of storage space in my kitchen. Fortunately, I use my IP often enough that it pays to keep it on the counter. My stand mixer, used maybe once a month, has been relegated to a cabinet.

The next thing I want to conquer is Chile Verde for two. I plan to use boneless country-style pork ribs as a smaller cut alternative to pork butt. I'm still trying to find the perfect recipe that I can adapt to the IP. I continue to be amazed at the things I can cook in one pot, making cleanup a breeze. The convenience, time savings and above all, the taste, keeps me on the lookout for new things to make in it. In fact, every time I read a recipe for a braise of any kind, I mentally begin to rewrite it to work in my IP. Full disclosure, I still haven't used the slow cooker function, because cooking under pressure produces better food than my slow cookers ever have.

ORIGINAL REVIEW - I've had my IP for 3 months. In that time I've used it to make ribs, steel cut oats, my very first ever baked cheesecake (no cracking!), pulled pork (BBQ and Mexican), chile Colorado (wondrous), risotto (yes I did) and beef tips in gravy (so good). That's not all I've made in it, but it's a small sampling.

Other reviewers have gone into great detail about it's features and functions. I'm more into telling you how it fits into my lifestyle. I'm an early retiree, living in Tampa, FL with my husband. Our son, DIL and their 4 young wolves live on the next block and we're often together on the weekends and even some weeknights. I'm a fairly accomplished home cook and cook most things from scratch because they taste better and take only a little longer. I'm all about making the process easier, faster and better. I also HATE standing over a hot stove for a long time. My Instant Pot works well, whether cooking for 2 as I usually do, or feeding the entire wolf pack (that's 8 of us when we're all together).

I don't like to use my oven unless absolutely necessary. By far my most used appliance is my Breville Smart Oven (the big one). It keeps my kitchen much cooler year 'round. I consider slow cookers too hot to use indoors in summer, as running on low all day my kitchen still gets warm, even with a ceiling fan. My Instant Pot is a slow cooker, too, and it doesn't heat up my kitchen at all. It's just better insulated, but I've found that meals are so good under pressure that there's no need to use the slow cooker function. I keep meaning to, but speed always seems to prevail. I love that I can make roasts and other long-cooking things that we used to reserve for cooler months.

One of my concerns was the ability to cook smaller cuts of meat and smaller volumes of other foods than the recipes indicate. I was assured by my friends at Chowhound.com that this was simple. For meats, I just buy a smaller cut from the same area of the cow or pig. Instead of a pork butt, I use blade steak or boneless country ribs. For chuck roast, I use chuck steak or boneless beef ribs. These things all cook in about 35 minutes.

This being my first pressure cooker, I had no idea how to use one, and specifically, I'm pretty clueless about cooking times because they're all over the charts, with many cookbooks (I'm looking at you, Great Big Pressure Cooker Cookbook with your 10 minute risotto) being no help at all. Or others which suggest we Increase the stovetop time by 30% for every recipe? Who thought that was the right way to go? My best results have come from the recipes on Serious Eats and Barbara Schieving's website, Pressurecookingtoday.com, using the timing charts on the IP website or hippressurecooking.com. Note that Barbara often lists much longer times for roasts than needed.

All the things I've made in it? Chile Colorado. I served it cubed the first night, then shredded the leftovers for burritos. Meyer Lemon Cheesecake, Creamy Parmesan Risotto, Lime Cilantro Rice, Pulled Pork, Baked Beans, Weeknight Pot Roast & Potatoes, White Rice (much faster than my rice cooker), Steel Cut Oats, Beef Tips, Pork Carnitas, Refried beans. I like to keep those on hand. I soak pintos overnight in the IP's pot, cook them with a quartered onion and mash them with butter or bacon grease, cumin and chili powder, right in the pot after reserving the liquid. They cost half as much as buying canned beans and taste worlds better. Ribs are fall-off-the-bone tender in 30 minutes. It was easy to make a double batch for the wolfpack, chill them overnight and finish on the grill next day. Next week I'm making the classic Bolognese from the ATK book which is only one ingredient away from Marcella Hazan's famous all-day version of the sauce. Total time, 90 minutes instead of 4 hours.

Best things about the Instant Pot, aside from how it makes food taste? It's effortless. Really, push Start and walk away. And the steel inner pot is wonderful. Most things I've made begin with the Sauté setting before going under pressure. We get superior browning before deglazing the pan with liquid. Although the silicone gasket now reeks of chili it hasn't affected anything else. If anyone knows how to remove the smell from it, let me know. Silicone is stubborn that way. I have a 2nd gasket that I use for oatmeal, rice and cheesecake. The gasket is easy to remove and replace. The steel pot goes into the dishwasher. I'm considering getting a nonstick pot for rice and oats. This handy appliance has transformed my summertime cooking, allowing me to break away from our usual salads and grilled chicken rut. Can't wait to see what it does for stews and chilis in winter."
ShopperFromIL,5.0 out of 5 stars,perfect size for a 2-3 people,"Reviewed in the United States on August 2, 2025","Perfect size for 2 or 3 people and so easy to setup and put away.

The preprogrammed settings each have their own timing, and *variable* pressure, which the pot manipulates by manipulating the temperature of the different food (the higher the temperature, the higher the pressure).

It significantly reduces cooking times, making it a lifesaver on busy weeknights. Whether I'm preparing tender stews, fall-off-the-bone ribs, or flavor-packed soups, the Instant Pot never fails to deliver perfectly cooked meals in a fraction of the time.

The included app with hundreds of recipes is also a huge bonus — it makes meal planning so much easier. Whether you’re a beginner or an experienced cook, this Instant Pot takes the stress out of dinner prep. Highly recommend!"
Walter O.,5.0 out of 5 stars,InstantPot IP-Duo60 versatility is hard to beat,"Reviewed in the United States on March 13, 2014","This is a 6 month update - Have used the product now for about 6 months and feel it proper to update some of my former comments as I have become more familiar with it's features. (I don't shill for Amazon or InstantPot, this is an independent appraisal)

A lot of 5 star ratings. My initial rating was four stars. After a fair amount of use I decided to upgrade it to five. I really like InstantPot and would recommend it to others. I do a lot of soups and stews, a meal in a bowl; I dislike washing dishes! After many years of cooking for a crowd 3 times a day, my wife does not want to spend a lot of time in the kitchen. She is a good cook when in the mood, but is the undisputed speed-queen in fixing a meal. She opens 5 cans, dumps them into a large saucepan, a little water and seasoning; 5 minutes later on High heat - Voila! - almost scorched Dinner. For gals who have cooked over 10,000 meals, this may be just the ticket! I enjoy cooking! My preferred menu utilizes pressure cooking to large extent because I live at 5,000 ft. elevation. A must if you live in Leadville Colo.

My instant pot occupies a small unused ledge in the corner of the kitchen. Two instant pots together would nicely fill the space. Main reason I bought the InstantPot Duo 60 is the removable Tri-clad bottom mirror-finish all stainless steel liner (looks like chrome), along with the delay and cooking timer auto-shutoff. This sets it apart from old-time swisher type 1st Gen P.C.'s. An added lower pressure setting extends its ability to more tender foods. Tender vegetables and yogurt making features are what differs it from the non-duo 60. I haven't made Yogurt yet, but as a Diabetic, crisp veggies are a priority. Sometime soon I'm gonna try making some Yogurt. I've used it in several different modes, enough to feel comfortable about offering my little opinion. To make a stew, you can brown the meat, pressure cook it until tender, quickly de-pressurize, add some beans or veggies, put on the glass lid, set the timer for 2 or 3 hours and slow cook until done. Eat the meal, put the entire steel pot of leftovers with glass lid, (must be ordered separately), in the fridge for tomorrow or day after, all using a single container using only one very safe, quiet, clean appliance. For Chicken Soup with Matzo Balls I cook a whole chicken on the Poultry setting for 35 minutes and let it depressurize on its own. Still under pressure it actually cooks for another 15 minutes. Remove the Chicken, de-skin and de-bone all those little bones and cartilage. Set the pot outside on top of the Barbecue for a few hours, (when it's cold out), to solidify and remove all but some of the surface layer of fat. Put the shredded chicken pieces back in, add the veggies and seasonings, another 6 minutes low pressure cooking or slow cook 'till done; add the freshly cooked, hot Matzo Balls when serving. Others have said they have purchased an extra liner and glass lid so you can see how that would extend its usability. The liner really is easy to clean. Rinse it out under the hot water, a soapy sponge, re-rinse and set it in the sink basket to dry. It's operation is really quiet and there is not any visible steam whooshing through the air. You could very easily cook on the dining room table, or a small adjacent table. Making a pot of beans outdoors next to the barbecue is easy too.

Lack of a 15 lb setting poses a problem for some potential buyers as it does add somewhat to the overall cooking time. Some P.C. reviewers have remarked that is a big problem for them. The actual high pressure setting is 11 psi which drops the cooking temp for 260 to 240 degrees. The low pressure is 7 psi. I'm sure it must add to cooking time, but for me, it is not a consideration. In some instances I find it preferable to use my second electric 15 psi P.C. tucked away in another kitchen corner using my stove to steam some Broccoli, using my Barbeque as a convection oven for a Casserole in the summer so I don't heat up the house, If I have two electric pressure cookers going at once it's getting a big Sunday meal done in even less time! During the week I just nuke leftovers.

Initially, at the start you can program it just about any way you like over a wide range of different settings and presets. After 10 seconds has elapsed, it starts whatever you have programmed and cannot be changed without stopping and resetting it. In my initial review I complained a little about the Manual setting. I have come to realize that a good percentage of negative comments (aside from shipping damage or DOA out of the box) are because the person does not understand the operation of the device. Well... I guess I am no different than anyone else in that I misunderstood the purpose of the Manual Program. Manual is a pressure cook only setting and it allows you to vary the P.C. time. No need to change temp, just time and pressure. If you can't find any of the preset times to suit you. Manual will allow you to choose either pressure, or any time from 1 - 120 minutes. Most will not really need to use Manual, but they added it just in case someone finds it useful I guess. Except for the Rice setting you can use almost any setting any way you want, OR you can do it by the book. You can pretty much do whatever you want. You could cook a Chicken using the Bean/Stew setting. Pssst! there aren't any InstantPot police! Because it has so many settings, it takes a while to find all the various available combinations. I've found combinations that cover all the bases. However It is very easy to just stop the running program and switch to a different program to enter a new or different time, pressure, or temp. It takes maybe ten seconds to do this. The only thing keeping you from thinking outside the box is you. Go crazy! Be creative! No Rules! For most, this probably would never even be an issue. I'm kinda finicky, (just ask my wife). For someone who just wants to have a pot of beef stew ready when they get home, no sweat, Read the manual, you won't encounter any problems, the standard settings will work fine). My initial rating was four stars because I thought I was limited by the presets. It turns out that is not really the case. With the InstantPot you really can do just about anything you want. It's just a matter or re-evaluating how you perceive you are able to use it. At first, the presets seem to be absolutes; they are not. It is all just a matter of perception, a little extra thought, a few more button clicks... or if you find the presets work well, as many reviewers have, you can literally just set it and forget it.

The even heating of the Tri-Clad bottom of the stainless steel liner is a best feature for me as it greatly reduces, if not in most instances, eliminates entirely any probability of scorching your food. The 3 preset settings seem to work as advertised for the most part. Suppose you are going to cook a thick sauce. The preset temp is often Med. which might be too high. When you first turn it on, with any of the four top LH settings you are able to increase or decrease temperature, time and pressure, Hi-Lo. For something thick, you may choose to change the temp from Med. to Low which should avoid scorching. What I do when slow-cooking, is select Saute and High temp setting to save time in order to get 3 1/2 quarts of soup mix boiling, then stop it, select Slow Cook and reset the time choosing a low and slow temperature to finish cooking. I find the best way to cook pasta is to fill it two-thirds full of water, Select Saute, high temp to get the water boiling furiously, stop and reset temp to Medium to finish cooking the pasta. It might prove quicker to cook pasta on your stove, but you can also do it with the InstantPot, drain the water, add spices, Italian Sausage and/or Meatballs, Marinara Sauce, Slow cook on low heat and keep warm with the glass lid on beside the dining room table for a leisurely, more pleasurable, (second helpings don't get cold), dining experience with friends and family. High temp is what you want when pressure cooking meat or poultry with 1 or 2 inches of water which decreases startup time. Cook for 45 minutes using one and a half inches of water because very little water escapes as steam! Just this minute, as I am writing this, (first review), I paused and went into the kitchen to check up on my 5 1/2 quarts of Cowboy Chile that I am slow-cooking. It was almost out of time. I decided it needed another hour, so I stopped it, shut it off, re-selected Slow Cook medium temp, and reset the time for one more hour. The program would have automatically stopped by itself, gone into Keep Warm mode, so you can re-start to cook it longer, anyhoo it's not a deal-breaker. When slow-cooking on Low, my Chile just gurgles away nicely without any scorching with the pot maxed out to within 1 inch from the top. (DO NOT even think about filling the pot past 2/3 full when pressure cooking!) Once, the pot (stainless steel liner) had been in the freezer half-full of frozen soup. I put the pot liner back in its place, put on the glass lid, turned it on to keep warm for a little over an hour. it fully de-frosted the soup which was nice and warm to boot! Don't know if any one would ever do that, but you can set the keep warm timer for up to 10 hours and forget about it, Swedish Meatballs served warm, Fondue? No danger of overheating or boiling away. I speed up the bean pre-soak by putting the beans in the pot and setting the keep warm for an hour, and then letting them sit overnight. I find this necessary in the High and dry climate of Northern Nevada. Everything I've cooked so far has turned out just the way I wanted it, but not without a little creative fiddling. Every new gadget requires a learning curve. Because of it's many features, practice makes perfect! I give the InstantPot designers credit as most automatic settings work well, automating it for ease of use and safety. Cooking is part Science, but, I think, more Art than Science. I have the glass lid on for attended operation. A more tactile experience in food preparation. When slow-cooking I can check on it from time to time and make little adjustments, e.g. more time, less heat, add more chicken stock, taste it, more Oregano, a little Paprika, It's done when it's done, however long that takes.

Most programs work just fine on full automatic, but some small exceptions may demand more online flexibility. I must admit that I am biased in that I very often combine pressure cooking with slow cooking. I live at 5,000 feet with 10% humidity in July. I store a lot of beans which dry out after 6 months. To slow-cook those beans from scratch takes hours and they still are not done because water boils here at 201 degrees. It is surprising what a difference that makes. In New Orleans beans have much higher moisture content and at 212 degrees are done in an hour or less. I have to use a rapid boil just to make tea. A pressure cooker is the great equalizer, a must at higher altitudes because 15 lbs is 15 lbs pressure inside the pot regardless of altitude. I take a little extra time with my beans by using the low pressure setting. I especially like the delay start, cook, auto shut-off, keep warm features. The cooking timer and auto shut-off is absolutely essential for peace of mind for unattended operation as I have been known to doze off when cooking late at night. Every electric cooking appliance I own, including my Induction Range, is flameless and has a timed shutoff feature. I am retired and have the time, but, for those busy people on the go, the set-it-and-forget-it, ability of the InstantPot may prove it's best feature.

I very much like my InstantPot and have used it 2 or 3 times a week for one-pot meals. Having used it now for almost half a year, (I've got a pot of Navy beans cooking now as I update this review). I would say my initial impression was pretty close. One thing I especially like is I use less pots and pans when I am using the InstantPot, (I dislike washing pots and pans). It has some great features which leads me to believe they are really trying to hit it out of the park with this one. A Canadian Distributor; ""Way to go eh! Makes me want to stand up and sing ""Oh Canada!""

I guess price/point is the big bugaboo with manufacturers. If they added 15 psi I would fork over a little extra cash to get the ""totally perfect"" all-in-one cooker. They could test market it as their top-of-the-line world-beater Ultra Deluxe 7.6 litre model. I believe people will pay a little more if they know what they are paying for. For those desiring the convenience of an all-in-one cooker, at the price, there is little competition. I think it's a great value. Bottom line is: ""I like it just fine the way it is."" The InstantPot has earned a permanent place in my kitchen.

W.O"
Summer,5.0 out of 5 stars,Life-Changing Kitchen Appliance,"Reviewed in the United States on July 24, 2025","I can’t believe I waited this long to get an Instant Pot! This 7-in-1 pressure cooker has completely transformed the way I cook. It’s incredibly versatile — I’ve used it to make everything from tender stews and perfectly cooked rice to homemade yogurt and even cheesecake. The sauté function is a game changer for building flavor before pressure cooking, and the stainless steel inner pot is super easy to clean.

The included app with hundreds of recipes is also a huge bonus — it makes meal planning so much easier. Whether you’re a beginner or an experienced cook, this Instant Pot takes the stress out of dinner prep. Highly recommend!"
Janine - Amazon Customer,5.0 out of 5 stars,Bought to make probiotic yogurt,"Reviewed in the United States on August 17, 2025",I bought this to mainly make the probiotic yogurt I make for helping the microbiome. Tried a couple of other things but this machine is the simplest and most reliable thing I have found yet. And the yogurt is fantastic! Perfect! Set and forget and lets you set a long length of time which others sometimes cap off at 8-12 hrs. Keeps the constant temperature needed for reliable fermentation. I will probably use it for some meals as well but as of today this was an extremely good buy for me.
B,5.0 out of 5 stars,"Amazing Pot, my favorite appliance ever.","Reviewed in the United States on January 17, 2014","I received my Instant Pot right before the end of the year as I had pre-ordered it. I had done a good amount of research on the previous model and was convinced it could replace my small slow cooker as well as diversify my cooking and reduce my time in the kitchen. The main improvements I liked on this model over the previous model was the holder for the lid on both sides of the handles of the pot, the larger display, and the main improvement I was interested in was the dual pressure setting (mainly comes in handy for veggies for me).

At first use it took a little getting used to this new appliance. Some of the features which take some getting used to for me were the pressure release valve, and how to use the electronic controls. When cooking in a pressure cooker using traditional methods it is necessary to set the pressure release valve to closed, this allows pressure to build up in the pot during cooking. During the first few times I had forgotten to twist the pressure release valve to closed. Not doing this will eventually cause a light whistling sound and steam to come out of the release. Twist it back and all is well. I mention this because I read a review giving this pot a 1 star rating, and I could tell they hadn't closed their pressure valve based on the results they said they achieved.

Once you have used it a few times you will remember to shut the valve, as I have. Once the valve is closed then the second part I found took some getting used to was the controls, but now I realize they couldn't be easier. This is truly set it and forget style here people. Once you close the valve on the lid and lock the lid in place (you will hear an electronic ""chime"" letting you know the lid is closed) then it's as easy as hitting the button labeled ""manual"" and choosing an amount of time with the selector. This will allow you to follow recipes for times if you'd like. You can also hit the ""pressure"" button to adjust between high and low pressure. There are also a whole bunch of pre programmed recipes, a slow cooker option and a convenient ""sauté"" function which I have used a number of times. 10 seconds after choosing your options the cooker will beep 3 times and the pot will start to heat up. (make sure again you have the pressure release valve closed here)

It takes varying amounts of time for the pot to heat up but usually it's between 5 and 10 minutes for the pot to create enough pressure to where it pushes up a metal lock on the back of the unit, this prevents you from opening the pot until the pot is at a safe pressure. Once the lock sets it's only a few minutes till the timer will count down on the pot letting you know how much time is left. So keep in mind it takes 20 minutes or so from start to finish to cook 10 minutes cook time on the pressure cooker. Sometimes it seems like nothing is happening, but if you listen carefully you will hear boiling in the pot whenever it is in cycle. Once the time is up the pot will stay locked until you release the pressure by twisting the pressure release valve, or by waiting for 10 minutes to an hour for the pressure to release naturally. This will drop the metal lock in the back so you can open up the pot. One feature i love is the keep warm function. After any cooking is completed the system automatically goes to ""keep warm."" One night i forgot my chili in the pot after cooking it, but woke up late at night on the couch to realize it was kept warm all night! Pressing the off button will toggle the keep warm function on and off.

The stainless steel cooking pot is very easy to clean, however 6 of 10 on the unit for ease of clean. I love the stainless steel insert especially, it is very thick and of high quality. I just ordered a second one so i can more easily cook and store a variety of different things without having to constantly be cleaning and moving containers and food.
It does take a bit of getting used to this seemingly complex cooker, but after a little reading of the manual (which is great by the way) and some experience you will be able to cook just about anything in the instant pot. I just started cooking in the last year and I'm cooking up some amazing soups, chilies, meats, rices, pastas, and vegetables all in my first couple weeks, and i'm a beginner!
After looking into the pressure settings (it runs at around 11.x PSI on high) I am able to better plan my cook times. Note: Many recipes I found for pressure cooking on high are for 15 PSI so I have had to add a few minutes to most recipes. I also live in Denver, CO so I have to add some cook time due to the higher altitude as well. I found some good info using google on how to adjust pressure cooking for altitude.

I would highly recommend picking up a food slicer with the instant pot as well. I am dicing onions, celery, carrots, pineapple, potatoes, and more in seconds instead of minutes, then with the help of the instant pot I've got that stuff cooked quick and served hot. The slicer in combination with the instant pot cuts my cook and prep time by a third to a half I would estimate, in some cases more. I got a top rated Borner slicer off Amazon for about $30, and it's worth every penny.
Most importantly the food tastes amazing, meats are tender, rice is well cooked, veggies are incredible. I would recommend this Pressure cooker to anyone in the market for a replacement slow cooker, someone looking to cook more quickly, anyone looking to eat healthier, and for any person without access to a stove.

I plan on purchasing more as gifts for family in the future. For those of you ordering an Instant Pot: Your only regret will be that you didn't get one sooner!"
Richard,5.0 out of 5 stars,It does cook very quick,"Reviewed in the United States on August 8, 2025","Going from a slow cooker to an insta pot, it was a little confusing at first even with directions, but once you get past the first meal which turned out great. The meal was done in about an hour compared to eight hours and the meat was tender. Just make sure you have everything cut up and ready ahead of time because it is quick, especially if your going to saute your ingredients first."
oceans13,5.0 out of 5 stars,Just bought a new one after 9 years of Instant Pot bliss,"Reviewed in the United States on July 26, 2025","This is absolutely the best countertop kitchen appliance ever made, and I've owned every type, including commercial grade appliances that cost hundreds of dollars. I love to cook, but I don't enjoy standing over a hot stove waiting for things to cook, so I have used all kinds of appliances to avoid the stovetop. In 2016, my 20-year old rice cooker went up in a literal puff of smoke, and I found the iPot on Amazon while shopping for a replacement. Since then, I rarely use the stove or other appliances at all. This changed my life, LOL. My culinary life has a before iPot and after iPot timeline. I've spent years adjusting all kinds of vegan recipes for electric pressure cooking and have made everything imaginable in the iPot - pasta, meatloaf, yogurt, cakes, potatoes, all kinds of grains, legumes, and beans, and an endless variety of curries, soups, etc. This does an incredible job of steaming vegetables at 0 minutes on the steam function with an immediate pressure release. My entire family has since joined the iPot revolution. The 6-quart size works great for a couple. This is a heavy duty, well built appliance. We bought an appliance sliding tray on Amazon to make it easier to move it from under the cabinet to the center of the countertop without having to lift it. I'd recommend replacing the seal with name brand replacement silicone rings when needed, as the third party rings didn't work as well for me. Amazon has several good vegan Instant Pot cookbooks if you don't want to experiment. After 9 years of faithful service about 5 times weekly, my iPot is having issues coming up to pressure when cooking small quantities, so I happily bought another one of the same model. The photo shows my old one preparing for retirement since the new one just arrived. I cannot give this product a high enough recommendation; stop reading reviews and start your own Instant Pot love affair!"
Dev Sarkar,5.0 out of 5 stars,Exceptional Versatility and Convenience with Instant Pot Duo 7-in-1,"Reviewed in Canada on February 17, 2024","The Instant Pot Duo 7-in-1 Electric Pressure Cooker has revolutionized my cooking experience! This appliance is a true kitchen powerhouse, offering seven different functions in one compact device. Whether I'm pressure cooking, slow cooking, steaming, sautéing, or using it as a rice cooker, the Instant Pot Duo delivers outstanding results every time. I love the convenience it brings to my busy lifestyle—I can prepare delicious and nutritious meals with minimal effort and in a fraction of the time compared to traditional cooking methods. The safety features provide peace of mind, and the stainless steel cooking pot ensures easy cleanup. Overall, the Instant Pot Duo has exceeded my expectations, and I highly recommend it to anyone looking to streamline their cooking process and explore a world of culinary possibilities."
Mr. Sunny,5.0 out of 5 stars,Love the 3 qt capcity!!! Super powerful!!!,"Reviewed in the United States on May 14, 2025","I recently purchased the Instant Pot 3 Qt 7-in-1 Pressure Cooker, and it has quickly become an essential part of our family's cooking routine. This compact yet versatile appliance is perfect for smaller quantities especially for rice, lentils etc. It can cook upto 5 cups of rice, lentils and about 6 eggs. Additionally, it can also cook pasta perfectly using the manual pressure cook mode with high pressure setting & 5 mins.

Pros:

Versatility: The 7-in-1 functionality is impressive. It serves as a pressure cooker, slow cooker, rice cooker, steamer, sauté pan, yogurt maker, and warmer. This versatility means I can prepare a wide range of dishes with just one appliance. I love the schedule feature as it allows me to schedule the cooker ahead of time to a certain time so that I can come home to a hot cooked meal; once the cooking is done, it goes to the warm mode automatically.
Compact Size: The 3-quart size is ideal for small families or for smaller quantities. It doesn't take up much counter space, which is a big plus in my kitchen.
Ease of Use: The control panel is user-friendly with clear buttons and settings. Beginners may have a bit of a learning curve but there are a ton of youtube videos and online instructions for help.
Quick Cooking: The pressure cooking feature significantly reduces cooking time especially for rice, potatoes, eggs, lentils etc. I also noticed that it is lot more powerful compared to my other 6 Qt Instant Pot although that's an older model from 2016. I also like the Saute mode to saute a bunch of things before pressure cooking them especially meats.
Consistent Results: Every meal I've cooked so far has turned out perfectly. The Instant Pot maintains consistent pressure and temperature, ensuring even cooking. I also found it to be lot more energy efficient.
Cons:

Learning Curve: There is a bit of a learning curve if you're new to pressure cooking. However, the included manual and online resources are very helpful.
Limited Capacity: While the 3-quart size is perfect for small portions, it might not be sufficient for larger families or batch cooking.
Overall, I'm thrilled with my purchase. The Instant Pot 3 Qt 7-in-1 Pressure Cooker has made meal prep easier and more enjoyable. I highly recommend it to anyone looking for a versatile and efficient kitchen appliance."
Gulf coast living,5.0 out of 5 stars,Perfect size for 2 or 3 people and so easy to setup and put away,"Reviewed in the United States on July 23, 2025","Love it! I have a HUGE Crockpot pressure cooker but because of the size its a lot of work to use and makes no sense for small meals. I thought I'd try a 3qt small pressure cooker and this led me to this item. After receiving it I was so happy to see that it was PERFECT size for 2 people. Within a few days I did short ribs for my wife and I. It accommodated 4 pieces of beef short ribs, carrots, celery and broth and cooked under pressure for 50 minutes. It came out PERFECT! I then removed the short ribs and finished reducing the sauce with the saute setting. It was so easy to clean and put away, and the portion size was more than enough for 2 people. Highly recommen."
Laurice,5.0 out of 5 stars,Versatile!,"Reviewed in the United States on July 11, 2025","I love this multi-cooker so much! After using the 8 quart cooker for a few years, which I love, I decided to get the 3 quart for my grains and beans. Most rice cookers have a non-stick coating, which I didn’t want. This is non-toxic stainless steel and does a LOT more than just cook perfect rice! I use it several times a week and I fully expect to use it for years to come. Rice and other grains, as well as beans are regulars on our menu, but I also use this work-horse for perfect “baked” potatoes and hard “boiled” eggs. The smaller size is so convenient and clean up is a breeze. Extra points for keeping the house cool during hot summer months!"
xocotl,5.0 out of 5 stars,Over all 100 Stars 🌟 But lid can't be resting on the side of the pot,"Reviewed in the United States on August 20, 2025","Works so wonderfully like the first ones that came out. Heavy lid though and you need a bit more space to keep this.
No issues and highly satisfying. But the lid cannot be resting on the side of the pot,that's the only thing lacking.
Everything else is excellent!!!"
prateek,5.0 out of 5 stars,"⭐️⭐️⭐️⭐️⭐️ One Appliance, Endless Meals — Total Game-Changer!","Reviewed in the United States on July 18, 2025","✅ Why I Bought It

As a busy mom juggling work, twins, and everything in between, I needed something that could take the stress out of mealtime. The Instant Pot Duo 7-in-1 sounded almost too good to be true… but honestly? It’s completely lived up to the hype.

🧪 First Impressions
• Build: Sleek stainless steel exterior, sturdy inner pot, and clearly labeled buttons.
• Setup: Super intuitive! The quick-start guide makes it easy for beginners.
• Size: The 6-quart is the perfect family size — handles soups, stews, rice, and full dinners effortlessly.

🧠 What I Love
• Fast & Flavorful: I can make fall-off-the-bone chicken in under 30 minutes.
• 7-in-1 Functionality: Pressure cooker, slow cooker, steamer, sauté pan, rice maker, yogurt maker, AND food warmer — all in one.
• Easy Cleanup: The stainless steel insert and lid are dishwasher-safe.
• Recipe App: Over 800 recipes and new ideas to keep things exciting.
• Safe & Reliable: The lid lock and steam release features give me peace of mind.

🤔 What Could Be Better
• It does take up counter space, but honestly, it replaces so many appliances it’s absolutely worth it.

💭 Final Thoughts

Whether you’re a busy parent, college student, or just tired of takeout — the Instant Pot Duo makes cooking quick, healthy, and fun. It’s transformed how we eat as a family. If I could give it 6 stars, I would!

👉 Tap “Helpful” if this saved you hours of recipe searching and second-guessing like it did for me!
Read more"
